Mouse_Gene_Symbol,Mouse_Ensembl_ID,Human_Gene_Symbol,Human_Ensembl_ID,Homology_Type,Confidence,Percent_ID
1810037I17Rik,ENSMUSG00000054091,,ENSG00000164096,ortholog_one2one,[],68.1818
Cfap410,ENSMUSG00000020284,,ENSG00000160226,ortholog_one2one,[],73.4375
Ndufaf8,ENSMUSG00000078572,,ENSG00000224877,ortholog_one2one,[],79.7297
1810055G02Rik,ENSMUSG00000035372,,ENSG00000171067,ortholog_one2one,[],46.7706
Stmp1,ENSMUSG00000073155,,ENSG00000243317,ortholog_one2one,[],91.4894
2010003K11Rik,ENSMUSG00000042041,,ENSG00000173237,ortholog_one2one,[],71.5517
Borcs7,ENSMUSG00000062376,,ENSG00000166275,ortholog_one2one,[],95.283
Atp5mpl,ENSMUSG00000021290,,ENSG00000156411,ortholog_one2one,[],72.4138
Aopep,ENSMUSG00000021458,,ENSG00000148120,ortholog_one2one,[],76.5568
Cracdl,ENSMUSG00000026090,,ENSG00000196872,ortholog_one2one,[],63.6175
2200002D01Rik,ENSMUSG00000030587,,ENSG00000167644,ortholog_one2one,[],59.434
Misp3,ENSMUSG00000074217,,ENSG00000141854,ortholog_one2one,[],74.8858
Nbdy,ENSMUSG00000086316,,ENSG00000204272,ortholog_one2one,[],92.6471
2210016F16Rik,ENSMUSG00000021550,,ENSG00000165118,ortholog_one2one,[],76.5396
2210016L21Rik,ENSMUSG00000029559,,ENSG00000157895,ortholog_one2one,[],65.6489
Emsy,ENSMUSG00000035401,,ENSG00000158636,ortholog_one2one,[],90.1272
2210408I21Rik,ENSMUSG00000071252,,ENSG00000185261,ortholog_one2one,[],71.9216
2300002M23Rik,ENSMUSG00000039269,,ENSG00000204542,ortholog_one2one,[],44.3077
2300009A05Rik,ENSMUSG00000032403,,ENSG00000189227,ortholog_one2one,[],92.3567
Faap100,ENSMUSG00000025384,,ENSG00000185504,ortholog_one2one,[],73.3258
Mab21l4,ENSMUSG00000034159,,ENSG00000172478,ortholog_one2one,[],76.5101
Pigbos1,ENSMUSG00000098332,,ENSG00000225973,ortholog_one2one,[],66.6667
2310009B15Rik,ENSMUSG00000079283,,ENSG00000203724,ortholog_one2one,[],65.5172
2310011J03Rik,ENSMUSG00000020133,,ENSG00000119559,ortholog_one2one,[],61.8644
2310022A10Rik,ENSMUSG00000049643,,ENSG00000160392,ortholog_one2one,[],90.1299
2310022B05Rik,ENSMUSG00000031983,,ENSG00000119280,ortholog_one2one,[],78.2875
2310030G06Rik,ENSMUSG00000032062,,ENSG00000149300,ortholog_one2one,[],62.6016
2310033P09Rik,ENSMUSG00000020441,,ENSG00000143793,ortholog_one2one,[],80.2281
Relch,ENSMUSG00000026319,,ENSG00000134444,ortholog_one2one,[],93.1743
Trir,ENSMUSG00000041203,,ENSG00000123144,ortholog_one2one,[],92.0455
2310039H08Rik,ENSMUSG00000062619,,ENSG00000221821,ortholog_one2one,[],50.495
Borcs8,ENSMUSG00000002345,,ENSG00000254901,ortholog_one2one,[],94.1176
Borcs6,ENSMUSG00000045176,,ENSG00000196544,ortholog_one2one,[],73.9496
2310057M21Rik,ENSMUSG00000040177,,ENSG00000119965,ortholog_one2one,[],70.5618
2310061I04Rik,ENSMUSG00000050705,,ENSG00000204564,ortholog_one2one,[],50.6048
Tmem94,ENSMUSG00000020747,,ENSG00000177728,ortholog_one2one,[],95.2065
2410004B18Rik,ENSMUSG00000036873,,ENSG00000162642,ortholog_one2one,[],85.1648
Micos13,ENSMUSG00000049760,,ENSG00000174917,ortholog_one2one,[],87.2881
Riox1,ENSMUSG00000046791,,ENSG00000170468,ortholog_one2one,[],75.975
Cplane1,ENSMUSG00000039801,,ENSG00000197603,ortholog_one2one,[],65.2722
Carnmt1,ENSMUSG00000024726,,ENSG00000156017,ortholog_one2one,[],90.22
Spring1,ENSMUSG00000032840,,ENSG00000111412,ortholog_one2one,[],92.6829
2510002D24Rik,ENSMUSG00000071632,,ENSG00000242259,ortholog_one2one,[],72.381
2510009E07Rik,ENSMUSG00000043391,,ENSG00000187068,ortholog_one2one,[],92.8
2510039O18Rik,ENSMUSG00000044496,,ENSG00000116685,ortholog_one2one,[],91.9558
Smim30,ENSMUSG00000052419,,ENSG00000214194,ortholog_one2one,[],91.5254
Faap20,ENSMUSG00000073684,,ENSG00000162585,ortholog_one2one,[],53.8889
Ccdc191,ENSMUSG00000022701,,ENSG00000163617,ortholog_one2one,[],66.9872
Rexo5,ENSMUSG00000030924,,ENSG00000005189,ortholog_one2one,[],67.0543
Arpin,ENSMUSG00000039043,,ENSG00000242498,ortholog_one2one,[],88.4956
Cfap418,ENSMUSG00000059482,,ENSG00000156172,ortholog_one2one,[],78.2609
Bltp2,ENSMUSG00000010277,,ENSG00000007202,ortholog_one2one,[],94.4966
2610528J11Rik,ENSMUSG00000028536,,ENSG00000253313,ortholog_one2one,[],74.3363
Hpf1,ENSMUSG00000038005,,ENSG00000056050,ortholog_one2one,[],89.3064
2700049A03Rik,ENSMUSG00000034601,,ENSG00000100578,ortholog_one2one,[],69.3798
Rtraf,ENSMUSG00000021807,,ENSG00000087302,ortholog_one2one,[],97.1311
2700062C07Rik,ENSMUSG00000024273,,ENSG00000141428,ortholog_one2one,[],71.8182
Zfta,ENSMUSG00000053080,,ENSG00000188070,ortholog_one2one,[],88.4956
Selenoh,ENSMUSG00000076437,,ENSG00000211450,ortholog_one2one,[],72.9508
2810004N23Rik,ENSMUSG00000031984,,ENSG00000143633,ortholog_one2one,[],65.1877
Mtrfr,ENSMUSG00000047635,,ENSG00000130921,ortholog_one2one,[],77.1084
Khdc4,ENSMUSG00000028060,,ENSG00000132680,ortholog_one2one,[],95.4397
Pclaf,ENSMUSG00000040204,,ENSG00000166803,ortholog_one2one,[],84.6847
Rex1bd,ENSMUSG00000058833,,ENSG00000006015,ortholog_one2one,[],60.199
2810459M11Rik,ENSMUSG00000026227,,ENSG00000204128,ortholog_one2one,[],69.1525
Resf1,ENSMUSG00000032712,,ENSG00000174718,ortholog_one2one,[],44.9914
Bmerb1,ENSMUSG00000044117,,ENSG00000166780,ortholog_one2one,[],95.098
2900026A02Rik,ENSMUSG00000051339,,ENSG00000197077,ortholog_one2one,[],54.5404
2900092C05Rik,ENSMUSG00000030385,,ENSG00000177025,ortholog_one2one,[],39.5349
Mrnip,ENSMUSG00000020381,,ENSG00000161010,ortholog_one2one,[],51.0204
Rmc1,ENSMUSG00000024410,,ENSG00000141452,ortholog_one2one,[],94.9772
Vxn,ENSMUSG00000067879,,ENSG00000169085,ortholog_one2one,[],82.6087
3110040N11Rik,ENSMUSG00000025102,,ENSG00000169609,ortholog_one2one,[],69.9346
Abhd18,ENSMUSG00000037818,,ENSG00000164074,ortholog_one2one,[],91.3793
Cyren,ENSMUSG00000046806,,ENSG00000122783,ortholog_one2one,[],65.6051
3110082I17Rik,ENSMUSG00000053553,,ENSG00000146540,ortholog_one2one,[],62.3711
Armh4,ENSMUSG00000036242,,ENSG00000139971,ortholog_one2one,[],56.4599
3830406C13Rik,ENSMUSG00000033111,,ENSG00000114405,ortholog_one2one,[],54.6875
Spata6l,ENSMUSG00000064202,,ENSG00000106686,ortholog_one2one,[],61.7347
Vsir,ENSMUSG00000020101,,ENSG00000107738,ortholog_one2one,[],77.1704
4833420G17Rik,ENSMUSG00000062822,,ENSG00000172244,ortholog_one2one,[],75.0784
4833439L19Rik,ENSMUSG00000025871,,ENSG00000122203,ortholog_one2one,[],80.3279
4921504E06Rik,ENSMUSG00000026734,,ENSG00000179133,ortholog_one2one,[],45.6364
Ttc6,ENSMUSG00000046782,,ENSG00000139865,ortholog_one2one,[],60.1803
4921507P07Rik,ENSMUSG00000029828,,ENSG00000153790,ortholog_one2one,[],73.7288
4921524J17Rik,ENSMUSG00000036934,,ENSG00000155330,ortholog_one2one,[],98.7013
4921536K21Rik,ENSMUSG00000020434,,ENSG00000187658,ortholog_one2one,[],51.5723
4921539E11Rik,ENSMUSG00000028520,,ENSG00000203963,ortholog_one2one,[],36.0
Dnaaf9,ENSMUSG00000027309,,ENSG00000088854,ortholog_one2one,[],85.0467
Spata48,ENSMUSG00000020191,,ENSG00000164500,ortholog_one2one,[],75.3425
Tex49,ENSMUSG00000022993,,ENSG00000257987,ortholog_one2one,[],80.1527
Tedc1,ENSMUSG00000037466,,ENSG00000185347,ortholog_one2one,[],58.3838
4930430F08Rik,ENSMUSG00000046567,,ENSG00000133641,ortholog_one2one,[],84.3077
Brme1,ENSMUSG00000008129,,ENSG00000132016,ortholog_one2one,[],37.5749
4930444P10Rik,ENSMUSG00000067795,,ENSG00000274443,ortholog_one2one,[],65.2174
4930447C04Rik,ENSMUSG00000021098,,ENSG00000179008,ortholog_one2one,[],68.9949
Cfap20dc,ENSMUSG00000021747,,ENSG00000163689,ortholog_one2one,[],65.1106
4930453N24Rik,ENSMUSG00000059920,,ENSG00000179021,ortholog_one2one,[],83.8906
4930503L19Rik,ENSMUSG00000044906,,ENSG00000166845,ortholog_one2one,[],64.9156
4930523C07Rik,ENSMUSG00000090394,,ENSG00000235750,ortholog_one2one,[],71.7172
Bnip5,ENSMUSG00000048905,,ENSG00000189325,ortholog_one2one,[],48.3129
4930550C14Rik,ENSMUSG00000005131,,ENSG00000166323,ortholog_one2one,[],70.607
4930558K02Rik,ENSMUSG00000086277,,ENSG00000180999,ortholog_one2one,[],57.9235
4930562C15Rik,ENSMUSG00000022518,,ENSG00000205832,ortholog_one2one,[],47.1516
4930563E22Rik,ENSMUSG00000053574,,ENSG00000256806,ortholog_one2one,[],67.7966
Erich6b,ENSMUSG00000022002,,ENSG00000165837,ortholog_one2one,[],33.3333
Dipk2b,ENSMUSG00000037358,,ENSG00000147113,ortholog_one2one,[],81.0624
4930579F01Rik,ENSMUSG00000012042,,ENSG00000138813,ortholog_one2one,[],53.2033
4930579G24Rik,ENSMUSG00000027811,,ENSG00000205208,ortholog_one2one,[],82.3009
4930590J08Rik,ENSMUSG00000034063,,ENSG00000131379,ortholog_one2one,[],64.2699
4931406C07Rik,ENSMUSG00000031938,,ENSG00000182919,ortholog_one2one,[],87.9365
Garre1,ENSMUSG00000066571,,ENSG00000166398,ortholog_one2one,[],92.9907
4931414P19Rik,ENSMUSG00000022179,,ENSG00000100802,ortholog_one2one,[],87.5465
Matcap1,ENSMUSG00000014837,,ENSG00000196123,ortholog_one2one,[],83.2272
Bltp1,ENSMUSG00000037270,,ENSG00000138688,ortholog_one2one,[],94.9931
4932438H23Rik,ENSMUSG00000039851,,ENSG00000205929,ortholog_one2one,[],68.0365
4933402J07Rik,ENSMUSG00000069971,,ENSG00000166152,ortholog_one2one,[],52.0755
4933411K16Rik,ENSMUSG00000090369,,ENSG00000203942,ortholog_one2one,[],56.5022
4933430I17Rik,ENSMUSG00000058046,,ENSG00000157653,ortholog_one2one,[],43.8178
Stpg3,ENSMUSG00000036770,,ENSG00000197768,ortholog_one2one,[],64.6104
4933434E20Rik,ENSMUSG00000027942,,ENSG00000143612,ortholog_one2one,[],95.6522
Rubcnl,ENSMUSG00000034959,,ENSG00000102445,ortholog_one2one,[],61.0272
5031439G07Rik,ENSMUSG00000036046,,ENSG00000100364,ortholog_one2one,[],96.7822
Elapor1,ENSMUSG00000040412,,ENSG00000116299,ortholog_one2one,[],90.3258
Spaar,ENSMUSG00000028475,,ENSG00000235387,ortholog_one2one,[],65.3333
Tasl,ENSMUSG00000025058,,ENSG00000120280,ortholog_one2one,[],83.3887
5730409E04Rik,ENSMUSG00000073755,,ENSG00000142686,ortholog_one2one,[],82.9694
5730455P16Rik,ENSMUSG00000057181,,ENSG00000108666,ortholog_one2one,[],89.1414
Fam241a,ENSMUSG00000050549,,ENSG00000174749,ortholog_one2one,[],76.5152
Inava,ENSMUSG00000041605,,ENSG00000163362,ortholog_one2one,[],87.5433
Trmo,ENSMUSG00000028331,,ENSG00000136932,ortholog_one2one,[],69.3878
6030458C11Rik,ENSMUSG00000022195,,ENSG00000082213,ortholog_one2one,[],78.5068
Zswim9,ENSMUSG00000070814,,ENSG00000185453,ortholog_one2one,[],67.3913
Tmem268,ENSMUSG00000045917,,ENSG00000157693,ortholog_one2one,[],87.4269
6430548M08Rik,ENSMUSG00000031824,,ENSG00000135709,ortholog_one2one,[],88.8078
6430550D23Rik,ENSMUSG00000074646,,ENSG00000125975,ortholog_one2one,[],40.5941
6430571L13Rik,ENSMUSG00000037977,,ENSG00000088543,ortholog_one2one,[],83.9506
Trmt9b,ENSMUSG00000039620,,ENSG00000250305,ortholog_one2one,[],72.6872
6820408C15Rik,ENSMUSG00000032680,,ENSG00000196476,ortholog_one2one,[],49.8623
8030462N17Rik,ENSMUSG00000047466,,ENSG00000152242,ortholog_one2one,[],94.0594
Depp1,ENSMUSG00000048489,,ENSG00000165507,ortholog_one2one,[],58.0189
Fam234b,ENSMUSG00000030207,,ENSG00000084444,ortholog_one2one,[],87.1383
Dglucy,ENSMUSG00000021185,,ENSG00000133943,ortholog_one2one,[],74.5572
Vps35l,ENSMUSG00000030982,,ENSG00000103544,ortholog_one2one,[],93.6656
9130008F23Rik,ENSMUSG00000054951,,ENSG00000197261,ortholog_one2one,[],36.8852
Armh3,ENSMUSG00000039901,,ENSG00000120029,ortholog_one2one,[],98.5486
9130401M01Rik,ENSMUSG00000101892,,ENSG00000189376,ortholog_one2one,[],68.4211
Cfap300,ENSMUSG00000053070,,ENSG00000137691,ortholog_one2one,[],83.5206
Elapor2,ENSMUSG00000056004,,ENSG00000164659,ortholog_one2one,[],93.2945
9430015G10Rik,ENSMUSG00000059939,,ENSG00000131591,ortholog_one2one,[],71.7172
Maip1,ENSMUSG00000025971,,ENSG00000162972,ortholog_one2one,[],77.3196
Jcad,ENSMUSG00000033960,,ENSG00000165757,ortholog_one2one,[],53.1273
9430038I01Rik,ENSMUSG00000040139,,ENSG00000237489,ortholog_one2one,[],55.5556
9530068E07Rik,ENSMUSG00000036275,,ENSG00000113583,ortholog_one2one,[],62.6415
9530077C05Rik,ENSMUSG00000036411,,ENSG00000164542,ortholog_one2one,[],86.0735
9930012K11Rik,ENSMUSG00000044551,,ENSG00000241852,ortholog_one2one,[],62.1918
9930021J03Rik,ENSMUSG00000046138,,ENSG00000183354,ortholog_one2one,[],75.5587
9930104L06Rik,ENSMUSG00000044730,,ENSG00000116922,ortholog_one2one,[],78.8177
A130010J15Rik,ENSMUSG00000079144,,ENSG00000162757,ortholog_one2one,[],77.3234
A1cf,ENSMUSG00000052595,,ENSG00000148584,ortholog_one2one,[],93.5154
Washc4,ENSMUSG00000034560,,ENSG00000136051,ortholog_one2one,[],96.7604
Shfl,ENSMUSG00000038884,,ENSG00000130813,ortholog_one2one,[],94.5017
A2m,ENSMUSG00000030111,,ENSG00000175899,ortholog_one2one,[],72.3881
A430005L14Rik,ENSMUSG00000047613,,ENSG00000198912,ortholog_one2one,[],64.6091
A430033K04Rik,ENSMUSG00000056014,,ENSG00000228623,ortholog_one2one,[],40.1055
Ccdc9b,ENSMUSG00000045838,,ENSG00000188549,ortholog_one2one,[],65.9184
A4galt,ENSMUSG00000047878,,ENSG00000128274,ortholog_one2one,[],77.3371
A4gnt,ENSMUSG00000037953,,ENSG00000118017,ortholog_one2one,[],71.1765
Minar2,ENSMUSG00000050875,,ENSG00000186367,ortholog_one2one,[],81.0526
A830018L16Rik,ENSMUSG00000057715,,ENSG00000165084,ortholog_one2one,[],76.2082
Bclaf3,ENSMUSG00000044150,,ENSG00000173681,ortholog_one2one,[],63.7131
Rasgef1b,ENSMUSG00000089809,,ENSG00000138670,ortholog_one2one,[],97.463
A930017K11Rik,ENSMUSG00000025727,,ENSG00000161992,ortholog_one2one,[],67.2504
AA986860,ENSMUSG00000042510,,ENSG00000182795,ortholog_one2one,[],62.7288
Minar1,ENSMUSG00000039313,,ENSG00000169330,ortholog_one2one,[],89.9563
Tmem266,ENSMUSG00000032313,,ENSG00000169758,ortholog_one2one,[],88.7189
Ecpas,ENSMUSG00000050812,,ENSG00000136813,ortholog_one2one,[],95.7586
Smim29,ENSMUSG00000062753,,ENSG00000186577,ortholog_one2one,[],96.0784
AI429214,ENSMUSG00000074384,,ENSG00000164743,ortholog_one2one,[],49.8433
Myorg,ENSMUSG00000046312,,ENSG00000164976,ortholog_one2one,[],92.0168
AI467606,ENSMUSG00000045165,,ENSG00000185905,ortholog_one2one,[],71.875
Shoc1,ENSMUSG00000038598,,ENSG00000165181,ortholog_one2one,[],58.9523
AI597479,ENSMUSG00000010290,,ENSG00000135974,ortholog_one2one,[],85.3448
AI661453,ENSMUSG00000034382,,ENSG00000188112,ortholog_one2one,[],69.0236
AI837181,ENSMUSG00000047423,,ENSG00000175573,ortholog_one2one,[],93.5154
Spindoc,ENSMUSG00000024970,,ENSG00000168005,ortholog_one2one,[],82.1522
AI854703,ENSMUSG00000053297,,ENSG00000284691,ortholog_one2one,[],92.6108
Gon7,ENSMUSG00000091931,,ENSG00000170270,ortholog_one2one,[],64.0
Nkapd1,ENSMUSG00000059820,,ENSG00000150776,ortholog_one2one,[],83.6177
AU021092,ENSMUSG00000051669,,ENSG00000153446,ortholog_one2one,[],68.144
AU022252,ENSMUSG00000078584,,ENSG00000164008,ortholog_one2one,[],84.4221
AU040320,ENSMUSG00000028830,,ENSG00000142687,ortholog_one2one,[],82.7455
AW209491,ENSMUSG00000039182,,ENSG00000136197,ortholog_one2one,[],92.6366
Rimoc1,ENSMUSG00000041935,,ENSG00000205765,ortholog_one2one,[],88.7755
AW554918,ENSMUSG00000033632,,ENSG00000150477,ortholog_one2one,[],72.4437
Aaas,ENSMUSG00000036678,,ENSG00000094914,ortholog_one2one,[],93.5897
Aacs,ENSMUSG00000029482,,ENSG00000081760,ortholog_one2one,[],89.881
Aadac,ENSMUSG00000027761,,ENSG00000114771,ortholog_one2one,[],69.6742
Aadat,ENSMUSG00000057228,,ENSG00000109576,ortholog_one2one,[],69.6471
Prxl2c,ENSMUSG00000021482,,ENSG00000158122,ortholog_one2one,[],88.4956
Aagab,ENSMUSG00000037257,,ENSG00000103591,ortholog_one2one,[],85.7143
Aak1,ENSMUSG00000057230,,ENSG00000115977,ortholog_one2one,[],91.7794
Aamdc,ENSMUSG00000035642,,ENSG00000087884,ortholog_one2one,[],91.8033
Aamp,ENSMUSG00000006299,,ENSG00000127837,ortholog_one2one,[],98.6175
Aar2,ENSMUSG00000027628,,ENSG00000131043,ortholog_one2one,[],90.625
Aars,ENSMUSG00000031960,,ENSG00000090861,ortholog_one2one,[],95.5579
Aars2,ENSMUSG00000023938,,ENSG00000124608,ortholog_one2one,[],83.0457
Aarsd1,ENSMUSG00000075528,,ENSG00000266967,ortholog_one2one,[],90.0485
Aasdh,ENSMUSG00000055923,,ENSG00000157426,ortholog_one2one,[],72.6776
Aasdhppt,ENSMUSG00000025894,,ENSG00000149313,ortholog_one2one,[],90.9385
Aass,ENSMUSG00000029695,,ENSG00000008311,ortholog_one2one,[],87.473
Aatf,ENSMUSG00000018697,,ENSG00000275700,ortholog_one2one,[],77.6786
Aatk,ENSMUSG00000025375,,ENSG00000181409,ortholog_one2one,[],72.9985
Abat,ENSMUSG00000057880,,ENSG00000183044,ortholog_one2one,[],91.2
Abca1,ENSMUSG00000015243,,ENSG00000165029,ortholog_one2one,[],95.3118
Abca13,ENSMUSG00000004668,,ENSG00000179869,ortholog_one2one,[],65.6979
Abca2,ENSMUSG00000026944,,ENSG00000107331,ortholog_one2one,[],93.3087
Abca3,ENSMUSG00000024130,,ENSG00000167972,ortholog_one2one,[],88.0869
Abca4,ENSMUSG00000028125,,ENSG00000198691,ortholog_one2one,[],88.3414
Abca5,ENSMUSG00000018800,,ENSG00000154265,ortholog_one2one,[],90.0731
Abca6,ENSMUSG00000044749,,ENSG00000154262,ortholog_one2one,[],67.718
Abca7,ENSMUSG00000035722,,ENSG00000064687,ortholog_one2one,[],77.6794
Abca8b,ENSMUSG00000020620,,ENSG00000141338,ortholog_one2one,[],75.5089
Abca9,ENSMUSG00000041797,,ENSG00000154258,ortholog_one2one,[],78.5714
Abcb10,ENSMUSG00000031974,,ENSG00000135776,ortholog_one2one,[],73.0352
Abcb4,ENSMUSG00000042476,,ENSG00000005471,ortholog_one2one,[],90.9304
Abcb6,ENSMUSG00000026198,,ENSG00000115657,ortholog_one2one,[],88.9549
Abcb7,ENSMUSG00000031333,,ENSG00000131269,ortholog_one2one,[],92.2872
